s	slabel	user_slabel	o	olabel	user_olabel
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035404	superior hypophysial artery	superior hypophysial artery
UBERON:0001514	descending aorta	descending aorta	UBERON:0001508	arch of aorta	arch of aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001514	descending aorta	descending aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002345	descending thoracic aorta	descending thoracic aorta
UBERON:0001516	abdominal aorta	abdominal aorta	UBERON:0002345	descending thoracic aorta	descending thoracic aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001516	abdominal aorta	abdominal aorta
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001640	celiac artery	celiac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0005436	common hepatic artery	common hepatic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010132	gastroduodenal artery	gastroduodenal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035829	right gastroepiploic artery	right gastroepiploic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002070	superior pancreaticoduodenal artery	superior pancreaticoduodenal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015480	proper hepatic artery	proper hepatic artery
UBERON:0015481	left hepatic artery	left hepatic artery	UBERON:0015480	proper hepatic artery	proper hepatic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015481	left hepatic artery	left hepatic artery
UBERON:0015482	right hepatic artery	right hepatic artery	UBERON:0015480	proper hepatic artery	proper hepatic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015482	right hepatic artery	right hepatic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001192	left gastric artery	left gastric artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001194	splenic artery	splenic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035830	left gastroepiploic artery	left gastroepiploic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010399	spleen trabecular artery	spleen trabecular artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010401	spleen central arteriole	spleen central arteriole
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0013132	penicillar arteriole	penicillar arteriole
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001191	common iliac artery	common iliac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001308	external iliac artery	external iliac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0007316	deep external pudendal artery	deep external pudendal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001355	deep femoral artery	deep femoral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001356	medial circumflex femoral artery	medial circumflex femoral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0009041	superficial circumflex iliac artery	superficial circumflex iliac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0034964	superficial epigastric artery	superficial epigastric artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0007317	superficial external pudendal artery	superficial external pudendal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002250	popliteal artery	popliteal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001537	anterior tibial artery	anterior tibial artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001539	dorsalis pedis artery	dorsalis pedis artery
UBERON:0034927	arcuate artery of foot	arcuate artery of foot	UBERON:0001539	dorsalis pedis artery	dorsalis pedis artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0034927	arcuate artery of foot	arcuate artery of foot
UBERON:0001553	medial tarsal artery	medial tarsal artery	UBERON:0001539	dorsalis pedis artery	dorsalis pedis artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001553	medial tarsal artery	medial tarsal artery
UBERON:0001390	sural artery	sural artery	UBERON:0002250	popliteal artery	popliteal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001390	sural artery	sural artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001540	peroneal artery	peroneal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001538	posterior tibial artery	posterior tibial artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035195	plantar metatarsal artery	plantar metatarsal artery
UBERON:0002455	common plantar digital arteries	common plantar digital arteries	UBERON:0035195	plantar metatarsal artery	plantar metatarsal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002455	common plantar digital arteries	common plantar digital arteries
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001541	medial plantar artery	medial plantar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0009040	deep circumflex iliac artery	deep circumflex iliac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001354	inferior epigastric artery	inferior epigastric artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0034693	cremasteric artery	cremasteric artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001309	internal iliac artery	internal iliac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001311	inferior vesical artery	inferior vesical artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0007315	internal pudendal artery	internal pudendal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0034727	vestibular bulb artery	vestibular bulb artery
UBERON:0008320	common penile artery	common penile artery	UBERON:0007315	internal pudendal artery	internal pudendal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0008320	common penile artery	common penile artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015174	helicine artery of penis	helicine artery of penis
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001340	dorsal artery of penis	dorsal artery of penis
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0008322	deep artery of clitoris	deep artery of clitoris
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0008323	dorsal artery of clitoris	dorsal artery of clitoris
UBERON:0001357	inferior rectal artery	inferior rectal artery	UBERON:0007315	internal pudendal artery	internal pudendal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001357	inferior rectal artery	inferior rectal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001358	perineal artery	perineal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0034727	vestibular bulb artery	vestibular bulb artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001314	obturator artery	obturator artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001312	superior vesical artery	superior vesical artery
UBERON:0035640	middle vesical artery	middle vesical artery	UBERON:0001312	superior vesical artery	superior vesical artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035640	middle vesical artery	middle vesical artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001310	umbilical artery	umbilical artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0005192	deferent duct artery	deferent duct artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002493	uterine artery	uterine artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015173	helicine branch of uterine artery	helicine branch of uterine artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015171	uterine spiral artery	uterine spiral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001313	iliolumbar artery	iliolumbar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001315	superior gluteal artery	superior gluteal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001183	inferior mesenteric artery	inferior mesenteric artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035180	sigmoid artery	sigmoid artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035040	superior rectal artery	superior rectal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0012255	inferior phrenic artery	inferior phrenic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001198	superior suprarenal artery	superior suprarenal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035529	left common iliac artery	left common iliac artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001186	left renal artery	left renal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001189	left testicular artery	left testicular artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0006636	lumbar artery	lumbar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0005464	median sacral artery	median sacral artery
