representation_of,glb_file
http://purl.obolibrary.org/obo/UBERON_0001222,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-right/v1.1/assets/VH_F_Ureter_R.glb
http://purl.obolibrary.org/obo/UBERON_0001223,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-left/v1.1/assets/VH_M_Ureter_L.glb
http://purl.obolibrary.org/obo/UBERON_0001223,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-left/v1.1/assets/VH_F_Ureter_L.glb
http://purl.obolibrary.org/obo/UBERON_0001225,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001225,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb
http://purl.obolibrary.org/obo/UBERON_0001225,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.2/assets/VH_F_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001225,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.2/assets/VH_F_Kidney_L.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb
http://purl.obolibrary.org/obo/UBERON_0001228,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb
